transition_id,cik,sic,sic2,sic_desc
1323,37785,2800,28,Chemicals & Allied Products
4158,1465112,4899,48,"Communications Services, NEC"
8488,1035267,3842,38,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
3370,93751,6022,60,State Commercial Banks
1379,1281761,6021,60,National Commercial Banks
1593,42582,3011,30,Tires & Inner Tubes
1294,33213,1311,13,Crude Petroleum & Natural Gas
3553,50104,2911,29,Petroleum Refining
537,14272,2834,28,Pharmaceutical Preparations
959,201533,4931,49,Electric & Other Services Combined
697,18230,3531,35,Construction Machinery & Equip
8661,1326380,5734,57,Retail-Computer & Computer Software Stores
5819,875045,2836,28,"Biological Products, (No Diagnostic Substances)"
4871,1090012,1311,13,Crude Petroleum & Natural Gas
4579,816284,2834,28,Pharmaceutical Preparations
3017,751652,4923,49,Natural Gas Transmisison & Distribution
8877,1141391,7389,73,"Services-Business Services, NEC"
2807,723531,8700,87,"Services-Engineering, Accounting, Research, Management"
477,12659,7200,72,Services-Personal Services
3477,350563,4911,49,Electric Services
1713,47217,3570,35,Computer & office Equipment
9121,1365135,7389,73,"Services-Business Services, NEC"
1082,936340,4911,49,Electric Services
3949,36270,6022,60,State Commercial Banks
4804,800240,5940,59,Retail-Miscellaneous Shopping Goods Stores
3252,90185,5160,51,Wholesale-Chemicals & Allied Products
3304,92122,4911,49,Electric Services
2859,78003,2834,28,Pharmaceutical Preparations
5656,873364,2834,28,Pharmaceutical Preparations
8578,37748,1221,12,Bituminous Coal & Lignite Surface Mining
7253,1000180,3572,35,Computer Storage Devices
3936,107263,4922,49,Natural Gas Transmission
2345,310158,2834,28,Pharmaceutical Preparations
8078,1060391,4953,49,Refuse Systems
4830,20286,6331,63,"Fire, Marine & Casualty Insurance"
2453,68505,3663,36,Radio & Tv Broadcasting & Communications Equipment
2672,797468,1311,13,Crude Petroleum & Natural Gas
45,2488,3674,36,Semiconductors & Related Devices
10384,1457543,3841,38,Surgical & Medical Instruments & Apparatus
1444,1124198,1600,16,Heavy Construction Other Than Bldg Const - Contractors
2007,1310067,5311,53,Retail-Department Stores
8253,1275283,2111,21,Cigarettes
2331,64803,5912,59,Retail-Drug Stores and Proprietary Stores
7261,1001288,3570,35,Computer & office Equipment
8879,1274057,2834,28,Pharmaceutical Preparations
8882,1652044,7370,73,"Services-Computer Programming, Data Processing, Etc."
3519,1018963,3317,33,Steel Pipe & Tubes
7360,1020569,6798,67,Real Estate Investment Trusts
2324,1613103,3845,38,Electromedical & Electrotherapeutic Apparatus
2759,1004980,4931,49,Electric & Other Services Combined
3284,91576,6021,60,National Commercial Banks
7974,1050915,1731,17,Electrical Work
8462,1099219,6311,63,Life Insurance
478,12659,7200,72,Services-Personal Services
1707,47111,2060,20,Sugar & Confectionery Products
6275,859014,7372,73,Services-Prepackaged Software
2767,1032208,4932,49,Gas & Other Services Combined
2569,814453,3089,30,"Plastics Products, NEC"
649,16732,2000,20,Food and Kindred Products
419,732712,4813,48,Telephone Communications (No Radiotelephone)
7959,1014473,7371,73,Services-Computer Programming Services
2618,72903,4931,49,Electric & Other Services Combined
245,320193,3571,35,Electronic Computers
1714,47217,3570,35,Computer & office Equipment
5724,874761,4991,49,Cogeneration Services & Small Power Producers
413,10795,3841,38,Surgical & Medical Instruments & Apparatus
1497,39899,4833,48,Television Broadcasting Stations
125,789073,2080,20,Beverages
6097,885725,3841,38,Surgical & Medical Instruments & Apparatus
9131,1274494,3674,36,Semiconductors & Related Devices
227,1163739,1381,13,Drilling Oil & Gas Wells
1801,216228,3561,35,Pumps & Pumping Equipment
307,8670,7374,73,Services-Computer Processing & Data Preparation
142,4904,4911,49,Electric Services
2829,922224,4911,49,Electric Services
3174,754737,4931,49,Electric & Other Services Combined
1026,26172,3510,35,Engines & Turbines
2268,63276,3942,39,Dolls & Stuffed Toys
10467,915912,6798,67,Real Estate Investment Trusts
2172,315852,1311,13,Crude Petroleum & Natural Gas
6644,909832,5331,53,Retail-Variety Stores
1881,51143,3570,35,Computer & office Equipment
6682,912615,5651,56,Retail-Family Clothing Stores
2372,723125,3674,36,Semiconductors & Related Devices
3407,310764,3841,38,Surgical & Medical Instruments & Apparatus
2399,66740,3841,38,Surgical & Medical Instruments & Apparatus
3426,95304,2911,29,Petroleum Refining
2784,75829,3569,35,"General Industrial Machinery & Equipment, NEC"
1242,31978,4911,49,Electric Services
3697,100885,4011,40,"Railroads, Line-Haul Operating"
920,1688568,7374,73,Services-Computer Processing & Data Preparation
6629,1048286,7011,70,Hotels & Motels
443,764478,5731,57,"Retail-Radio, Tv & Consumer Electronics Stores"
319,8868,2844,28,"Perfumes, Cosmetics & Other Toilet Preparations"
1977,200406,2834,28,Pharmaceutical Preparations
8860,1276520,6311,63,Life Insurance
8757,1156375,6200,62,"Security & Commodity Brokers, Dealers, Exchanges & Services"
7668,1022079,8071,80,Services-Medical Laboratories
4082,773910,1311,13,Crude Petroleum & Natural Gas
2874,764180,2111,21,Cigarettes
195,318154,2836,28,"Biological Products, (No Diagnostic Substances)"
2879,1163165,2911,29,Petroleum Refining
9031,1336920,7373,73,Services-Computer Integrated Systems Design
2461,717423,1311,13,Crude Petroleum & Natural Gas
2299,63908,5812,58,Retail-Eating  Places
4391,804212,5084,50,Wholesale-Industrial Machinery & Equipment
3800,203527,3845,38,Electromedical & Electrotherapeutic Apparatus
7402,931336,2020,20,Dairy Products
1816,49826,3560,35,General Industrial Machinery & Equipment
889,831001,6021,60,National Commercial Banks
9271,1403161,7389,73,"Services-Business Services, NEC"
6098,885725,3841,38,Surgical & Medical Instruments & Apparatus
9482,1138118,6500,65,Real Estate
6588,908255,3714,37,Motor Vehicle Parts & Accessories
6615,1418135,2080,20,Beverages
8377,1086222,7389,73,"Services-Business Services, NEC"
1521,40533,3730,37,Ship & Boat Building & Repairing
8579,1121788,3812,38,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
