transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
900001,,,CONTINENTAL AIRLINES INC,2010-01-01,internal,Lawrence W. Kellner,Jeffery A. Smisek,2009,2010
1323,4510,37785.0,FMC CORP,2010-01-01,external,William Gerald Walter,Pierre R. Brondeau,2009,2010
4158,12206,1465112.0,DIRECTV,2010-01-01,external,Larry D. Hunter,Michael D. White,2009,2010
1184,4094,,DUN & BRADSTREET CORP,2010-01-01,internal,Steven W. Alesio,S. Sara Mathew,2009,2010
8488,136725,1035267.0,INTUITIVE SURGICAL INC,2010-01-01,internal,Lonnie M. Smith,"Gary S. Guthart, Ph.D.",2009,2010
6505,28338,,TRANSOCEAN LTD,2010-03-01,internal,Robert L. Long,Steven L. Newman,2009,2011
3370,10035,93751.0,STATE STREET CORP,2010-03-01,internal,Ronald E. Logue,"Joseph L. Hooley, Esq.",2009,2011
1379,4674,1281761.0,REGIONS FINANCIAL CORP,2010-03-31,internal,C. Dowd Ritter,"O. B. Grayson Hall, Jr.",2009,2011
1593,5234,42582.0,GOODYEAR TIRE & RUBBER CO,2010-04-13,internal,Robert J. Keegan,Richard J. Kramer,2009,2011
1294,4430,33213.0,EQT CORP,2010-04-21,internal,Murry Steven Gerber,David L. Porges,2009,2011
3553,10466,50104.0,ANDEAVOR,2010-05-01,external,Bruce Anderson Smith,Gregory J. Goff,2009,2011
537,2403,14272.0,BRISTOL-MYERS SQUIBB CO,2010-05-04,internal,James Milton Cornelius,Lamberto Andreotti,2009,2011
959,3439,201533.0,CMS ENERGY CORP,2010-05-21,internal,David W. Joos,John G. Russell,2009,2011
697,2817,18230.0,CATERPILLAR INC,2010-06-01,internal,James W. Owens,Douglas Ray Oberhelman,2009,2011
8661,145049,1326380.0,GAMESTOP CORP,2010-06-01,internal,Daniel A. DeMatteo,J. Paul Raines,2009,2011
5819,24468,875045.0,BIOGEN INC,2010-06-08,internal,James C. Mullen,John Richels,2009,2011
4871,14934,1090012.0,DEVON ENERGY CORP,2010-06-08,external,J. Larry Nichols,"George A. Scangos, Ph.D.",2009,2011
4579,13599,816284.0,CELGENE CORP,2010-06-16,internal,"Sol J. Barer, Ph.D.","Robert J. Hugin, MBA",2009,2011
3017,8873,751652.0,QUESTAR CORP,2010-06-30,internal,Keith O. Rattie,Ronald W. Jibson,2009,2011
8877,160225,1141391.0,MASTERCARD INC,2010-07-01,external,Robert W. Selander,Ajaypal S. Banga,2009,2011
2807,8402,723531.0,PAYCHEX INC,2010-07-01,internal,Jonathan J. Judge,Martin Mucci,2009,2011
477,2269,12659.0,BLOCK H & R INC,2010-07-07,external,Russell P. Smyth,Alan Munro Bennett,2009,2011
3477,10277,350563.0,TECO ENERGY INC,2010-08-04,internal,Sherrill Wayne Hudson,John Braulio Ramil,2009,2011
1713,5606,47217.0,HP INC,2010-08-06,external,Mark Vincent Hurd,Leo Apotheker,2009,2011
3167,9411,,HILLSHIRE BRANDS CO,2010-08-09,internal,Brenda C. Barnes,Marcel H. M. Smits,2009,2011
8707,147175,,LORILLARD INC,2010-09-01,external,Martin L. Orlowsky,Murray S. Kessler,2009,2011
9121,175263,1365135.0,WESTERN UNION CO,2010-09-01,internal,Christina Albehdina Gold,Hikmet Ersek,2009,2011
1082,3897,936340.0,DTE ENERGY CO,2010-10-01,internal,"Anthony F. Earley, Jr.",Gerard M. Anderson,2009,2011
3949,11513,36270.0,WILMINGTON TRUST CORP,2010-11-01,external,William J. Farrell II,Donald E. Foley,2009,2011
4804,14624,800240.0,OFFICE DEPOT INC,2010-11-01,external,Stephen A. Odland,Neil R. Austrian,2009,2011
55,1177,,AETNA INC,2010-11-01,internal,Ronald Allan Williams,Mark Thomas Bertolini,2009,2011
3252,9699,90185.0,SIGMA-ALDRICH CORP,2010-11-13,internal,"Jai P. Nagarkatti, Ph.D.",Rakesh Sachdev,2009,2011
3304,9850,92122.0,SOUTHERN CO,2010-12-01,internal,David M. Ratcliffe,Thomas A. Fanning,2009,2011
2859,8530,78003.0,PFIZER INC,2010-12-05,internal,"Jeffrey B. Kindler, Esq., J.D.",Ian C. Read,2009,2011
5656,23945,873364.0,CEPHALON INC,2010-12-16,internal,"Frank Baldino, Jr., Ph.D.",J. Kevin Buchi,2009,2011
8578,141400,37748.0,MASSEY ENERGY CO,2010-12-30,internal,Donald L. Blankenship,"Baxter F. Phillips, Jr.",2009,2011
7253,61513,1000180.0,SANDISK CORP,2010-12-31,internal,Eli Harari,Sanjay Mehrotra,2009,2011
3936,11506,107263.0,WILLIAMS COS INC,2010-12-31,internal,Steven J. Malcolm,Alan S. Armstrong,2009,2011
2345,7257,310158.0,MERCK & CO,2011-01-01,internal,Richard T. Clark,Kenneth C. Frazier,2010,2011
8078,112168,1060391.0,REPUBLIC SERVICES INC,2011-01-01,internal,James E. O'Connor,Donald W. Slager,2010,2011
4830,14824,20286.0,CINCINNATI FINANCIAL CORP,2011-01-01,internal,Kenneth William Stecher,Steven J. Johnston,2010,2011
2453,7585,68505.0,MOTOROLA SOLUTIONS INC,2011-01-04,internal,"Sanjay K. Jha, Ph.D., B.E.",Gregory Q. Brown,2010,2012
2672,8068,797468.0,OCCIDENTAL PETROLEUM CORP,2011-01-05,internal,Ray R. Irani,Stephen I. Chazen,2010,2012
45,1161,2488.0,ADVANCED MICRO DEVICES,2011-01-10,external,Derrick R. Meyer,Rory P. Read,2010,2012
10384,183257,1457543.0,CAREFUSION CORP,2011-01-29,external,David L. Schlotterbeck,Kieran T. Gallahue,2010,2012
1444,4818,1124198.0,FLUOR CORP,2011-02-01,internal,"Alan Lee Boeckmann, B.E.",David Thomas Seaton,2010,2012
2007,6307,1310067.0,SEARS HOLDINGS CORP,2011-02-24,external,William Bruce Johnson,Louis Joseph D'Ambrosio,2010,2012
8253,120877,1275283.0,REYNOLDS AMERICAN INC,2011-02-28,internal,Susan M. Cameron,Daniel M. Delen,2010,2012
2331,7241,64803.0,CVS HEALTH CORP,2011-03-01,internal,Thomas M. Ryan,Larry J. Merlo,2010,2012
7261,61552,1001288.0,LEXMARK INTL INC -CL A,2011-03-27,internal,Paul J. Curlander,Paul A. Rooke,2010,2012
8879,160255,1274057.0,HOSPIRA INC,2011-03-28,external,Christopher B. Begley,F. Michael Ball,2010,2012
8882,160329,1652044.0,ALPHABET INC,2011-04-01,internal,Eric E. Schmidt,Lawrence Edward Page,2010,2012
3519,10405,1018963.0,ALLEGHENY TECHNOLOGIES INC,2011-04-01,internal,L. Patrick Hassey,Richard J. Harshman,2010,2012
7360,62374,1020569.0,IRON MOUNTAIN INC,2011-04-12,internal,Robert T. Brennan,C. Richard Reese,2010,2012
2324,7228,1613103.0,MEDTRONIC PLC,2011-04-29,external,"William A. Hawkins, III, M.B.A.",S. Omar Ishrak,2010,2012
2759,8264,1004980.0,PG&E CORP,2011-04-30,external,Peter A. Darbee,"Anthony F. Earley, Jr.",2010,2012
3284,9783,91576.0,KEYCORP,2011-05-01,internal,"Henry L. Meyer, III",Beth E. Mooney,2010,2012
