dismissal_dataset_id,coname,gvkey,fyear,exec_fullname,departure_code,ceo_dismissal,interim_coceo,left_ceo_office,date_departure_announced,anchor_date,exit_class,gov_exit_candidate,notes,sources,eight_ks,cik,sp500_at_transition,ncoaname,next_exec,next_left,successor_from_notes,successor_name,successor_source,classification,employment_months_at_appointment,succ_flags,succ_verification,succ_decision_ref,successor_gender
16,AMERICAN AIRLINES GROUP INC,1045.0,2021.0,William Douglas Parker,5.0,0.0,,2022-03-31,2021-12-07,2022-03-31,voluntary,False,"The 'president', who has been in that role for 5 years, took over after  4 month period between the annoucement and the transition.  Parker remained chair.  Stock shot up on the day prior to annoucement but that could also have been related to covid volatility
Parker is the 3rd or 4th (depending on which airlines you look at) airline CEO to leave after the pandemic hit.  AA had a terrible summer operationally and a small profit in Q3.  This guy was a dynamic CEO who remade a big part of the industry coming out of Sept 11 attacks.  He served for 8 years but left before a normal retirement age following poor performance for his firm and the industry
","https://apnews.com/article/business-texas-scott-kirby-doug-parker-robert-isom-bda78ab3a2a4138d0e668bf8993b32d5
https://www.wsj.com/articles/american-airlines-ceo-doug-parker-to-retire-11638878937?reflink=desktopwebshare_permalink
https://apnews.com/article/business-texas-scott-kirby-doug-parker-robert-isom-bda78ab3a2a4138d0e668bf8993b32d5
https://www.aa.com/i18n/customer-service/about-us/leadership-bios/doug-parker.jsp
https://apnews.com/article/business-texas-scott-kirby-doug-parker-robert-isom-bda78ab3a2a4138d0e668bf8993b32d5
https://news.aa.com/news/news-details/2021/American-Airlines-Announces-Leadership-Succession-Plan-CORP-EXEC-12/default.aspx",,6201.0,True,AMERICAN AIRLINES,,,,"Robert D. Isom, Jr.",,internal,~180,,PRELIMINARY,D-071,M
32,ABBOTT LABORATORIES,1078.0,2019.0,"Miles D. White, M.B.A.",5.0,0.0,,2020-03-31,2019-11-12,2020-03-31,voluntary,False,"ABBOTT PARK, Ill., Nov. 13, 2019 /PRNewswire/ -- Abbott (NYSE: ABT) today announced that Miles D. White will be stepping down as Chief Executive Officer on March 31, 2020, after a remarkable 21-year tenure, the second longest for a non-founder in today's S&P 100. He will remain Executive Chairman of the Board. The Board has unanimously appointed Robert B. Ford, a 23-year Abbott veteran, to succeed Mr. White as CEO.","https://abbott.mediaroom.com/2019-11-13-Abbott-Announces-Robert-B-Ford-to-Succeed-Miles-D-White-as-Chief-Executive-Officer-on-March-31-2020
https://www.sec.gov/ix?doc=/Archives/edgar/data/0000001800/000110465919063029/tm1922340d2_8k.htm","https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000110465920052424/tm2017882-1_8k.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000110465920002145/tm201503d1_8k.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000110465920026170/tm2011078-1_8k.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000110465919063029/tm1922340d2_8k.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000110465920016749/tm207510-1_8k.htm",1800.0,True,ABBOTT LABORATORIES,,,,Robert B. Ford,,internal,~285,,PRELIMINARY,D-067,M
45,ADVANCED MICRO DEVICES,1161.0,2010.0,Derrick R. Meyer,3.0,1.0,,2011-01-10,2011-01-10,2011-01-10,forced,False,"mutual agreement. 
  
  Changed code to 3. AMD's board forced out its leader, Dirk Meyer. The company's board members became concerned that Mr. Meyer wasn't moving quickly enough to begin offering chips for mobile devices, signaling their desire for a successor with visionary qualities who wasn't necessarily from the chip sector.","Clark, D., & Lublin, J. S. (2011, Jul 22). Corporate news: CEO hunt at AMD drags on. Wall Street Journal Retrieved from http://umiss.idm.oclc.org/login?url=https://search-proquest-com.umiss.idm.oclc.org/docview/878581581?accountid=14588
  https://venturebeat.com/2011/01/10/amd-ceo-resigns-thomas-seifert-appointed-as-interim-boss/
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:09/11/2010,cd_max:05/11/2011&tbm=nws&q=Derrick+Meyer+ADVANCED+MICRO&source=lnms&tbm=nws&sa=X&ved=0ahUKEwj-o8-h0__hAhUJP6wKHX8eCbEQ_AUIDigB&biw=1920&bih=969
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:07/14/2010,cd_max:04/10/2011&tbm=nws&q=Derrick+Meyer+ADVANCED+MICRO
  https://www.google.com/search?q=Derrick+Meyer+ADVANCED+MICRO","https://www.sec.gov/Archives/edgar/data/2488/000119312511027405/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511028302/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511052321/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511005156/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511131958/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511047575/d8k.htm",2488.0,True,ADVANCED MICRO DEVICES,Thomas Josef Seifert,2011-08-25,,Rory P. Read,chain,external,0,interim-bridged,PRELIMINARY,D-021,M
46,ADVANCED MICRO DEVICES,1161.0,2011.0,Thomas Josef Seifert,7.0,0.0,INTERIM,2011-08-25,2011-08-25,2011-08-25,excluded-interim,False,"He served for a couple months and then went back to  CFO
all the report I found said it was announced on august 25 that they appointed a new ceo for the company ","https://www.engadget.com/2012-09-17-amd-cfo-thomas-seifert-resigns.html
https://ir.amd.com/news-events/press-releases/detail/104/amd-names-rory-p-read-president-and-ceo","https://www.sec.gov/Archives/edgar/data/2488/000119312512065409/d302694d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511052321/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511254438/d234765d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312512043935/d296182d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511131958/d8k.htm
https://www.sec.gov/Archives/edgar/data/2488/000119312511231889/d8k.htm",2488.0,True,ADVANCED MICRO DEVICES,Rory P. Read,2014-10-08,,,chain,excluded,,excluded-interim,RULE-EXCLUDED,D-025,
55,AETNA INC,1177.0,2010.0,Ronald Allan Williams,5.0,0.0,,2010-11-01,2010-10-10,2010-11-01,voluntary,True,"Ronald Williams stepped down as CEO amidst the transformation of federal health-care law in the middle of the Great Recession. He assumed the role of Executive Chairman of Aetna, Inc. before completely retiring from the company in 2011. His successor, Mr. Bertolini, headed the corporation's lobbying efforts with governors and regulators. Seeing as how Aetna's market came primarily from selling insurance to large corporate entities, the shareholders probably decided that the legislative overhaul was best dealt with by an insider in Washington politics. Still not too old at sixty years of age, it is unlikely that Mr. William's retirement was voluntary given the circumstances. His salary was relatively generous at $85 million in five years (appx. $17 million a year), but the company's stocked dropped by a third of what it was at the beginning of Mr. William's term. Profitability also declined from $1.7 billion to $1.3 billion over the same period to boot.
  
  Changed code to 5. Ronald Williams was hired in 2001 and has since turned around the health insurer from an ailing company to a profitable one. He has retired after helping the company to improve its financial condition as well as navigate through the federal healthcare overhaul process. His successor, Mark Bertolini, has worked closely with state governors during this overahaul process while he was laisioning with policymakers at Washington. Mark Bertoloni would thus be suited to lead the company under a new healthcare policy regime.","https://www.forbes.com/sites/davidwhelan/2010/10/20/aetnas-ron-williams-retires-lets-do-the-math/#2a4d8ab83428
  Johnson, A. (2010, Oct 21). Corporate news: Aetna CEO williams to step down; bertolini is tapped as successor. Wall Street Journal Retrieved from http://umiss.idm.oclc.org/login?url=https://search-proquest-com.umiss.idm.oclc.org/docview/759298039?accountid=14588
  https://www.nashvillepost.com/business/management/article/20489974/healthcare-realty-names-next-ceo
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:07/03/2010,cd_max:03/02/2011&tbm=nws&q=Ronald+Williams+AETNA&source=lnms&tbm=nws&sa=X&ved=0ahUKEwj-o8-h0__hAhUJP6wKHX8eCbEQ_AUIDigB&biw=1920&bih=969
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:05/05/2010,cd_max:01/30/2011&tbm=nws&q=Ronald+Williams+AETNA
  https://www.google.com/search?q=Ronald+Williams+AETNA",,,True,AETNA,Mark Thomas Bertolini,2018-11-28,,Mark Thomas Bertolini,chain,internal,~92,,PRELIMINARY,D-017,M
56,AETNA INC,1177.0,2017.0,Mark Thomas Bertolini,7.0,0.0,,2018-11-28,2018-10-11,2018-11-28,review-code7,False,"On November 28, 2018 (the “Closing Date”), Aetna and CVS Health completed the merger contemplated by the Agreement and Plan of Merger (the “Merger Agreement”), dated as of December 3, 2017, among CVS Health, Hudson Merger Sub Corp., a wholly owned subsidiary of CVS Health (“Merger Sub”), and Aetna. . . . Also in connection with the completion of the Merger, as of the Effective Time, Karen S. Lynch, President, became the principal executive officer of Aetna. In connection therewith, Mark T. Bertolini, Chairman and Chief Executive Officer of Aetna . . . will no longer serve in such positions for the Surviving Corporation.","https://www.sec.gov/Archives/edgar/data/1122304/000112230418000178/form8-k.htm
 https://www.healthcarefinancenews.com/news/aetna-ceo-mark-bertolini-resign-post-after-merger-cvs-health",,1122304.0,True,AETNA,,,,,,excluded,,change-of-control-acquisition,RULE-EXCLUDED,D-065,
67,AIR PRODUCTS & CHEMICALS INC,1209.0,2014.0,John E. McGlade,3.0,1.0,,2014-07-01,2013-09-26,2014-07-01,forced,False,"John McGlade retired from his position as CEO of Air Products and Chemicals Inc. The company could was not meeting neither his appointed target of a 20 percent operating margin nor the goal of $15 billion in annual sales by fiscal year 2015. Investor Bill Ackman and his Pershing Square venture capital firm recently bought a 9.8% control in shares at a value of $2.2 billion in June 2014, so his calls to replace Mr. McGlade were heeded without further ado.","https://www.reuters.com/article/us-airproducts-pershing/ceo-to-retire-as-air-products-strikes-deal-with-ackman-idUSBRE98P0SI20130926
  https://www.wsj.com/articles/transocean-ceo-and-president-steps-down-1424051922
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:03/02/2014,cd_max:10/30/2014&tbm=nws&q=John+McGlade+AIR+PRODUCTS+&+CHEMICALS&source=lnms&tbm=nws&sa=X&ved=0ahUKEwj-o8-h0__hAhUJP6wKHX8eCbEQ_AUIDigB&biw=1920&bih=969
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:01/02/2014,cd_max:09/29/2014&tbm=nws&q=John+McGlade+AIR+PRODUCTS+&+CHEMICALS
  https://www.google.com/search?q=John+McGlade+AIR+PRODUCTS+&+CHEMICALS","https://www.sec.gov/Archives/edgar/data/2969/000119312514021972/d663216d8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000119312514421813/d825940d8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000119312514350140/d793171d8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000119312514320333/d779078d8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000119312514012144/d657812d8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000091412114000301/ai28975442-8k.htm
https://www.sec.gov/Archives/edgar/data/2969/000119312514005250/d656201d8k.htm",2969.0,True,AIR PRODUCTS CHEMICALS,,,,Seifollah Ghasemi,,external,0,board-insider;activist-installed,PRELIMINARY,D-058,M
74,ALASKA AIR GROUP INC,1230.0,2020.0,Bradley D. Tilden,5.0,0.0,,2021-03-31,2020-11-05,2021-03-31,voluntary,False,"Outgoinjg CEO was long tenured and the successor came from an acquisition. Outgoing CEO moving into chairman role
- New York-based analyst Bob Mann said Wall Street pushes airline management inexorably for reduced costs against the wishes of both employees and passengers.

“It’s a tough business to be in as a high-quality carrier competing with the lowest-cost guys,” said Mann, adding that Tilden has consistently delivered “the best financial performance in the industry.”","""https://newsroom.alaskaair.com/executive-leadership?item=29938
https://www.sec.gov/ix?doc=/Archives/edgar/data/0000766421/000076642120000092/alk-20201105.htm
https://newsroom.alaskaair.com/2020-11-09-Alaska-Air-Group-Announces-Leadership-Succession-Plan
https://www.seattletimes.com/business/boeing-aerospace/alaska-airlines-ceo-tilden-stepping-down-in-march-successor-named/

Alaska air group president to succeed CEO upon retirement. (2020). Airline Industry Information, Retrieved from http://umiss.idm.oclc.org/login?url=https://www.proquest.com/trade-journals/alaska-air-group-president-succeed-ceo-upon/docview/2459600379/se-2","https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642120000092/alk-20201105.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642120000083/alk-20201021.htm
https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642120000095/alk-20201105.htm",766421.0,True,ALASKA AIR,,,,Benito Minicucci,,internal,~200,,PRELIMINARY,D-070,M
97,ALLEGHENY ENERGY INC,1279.0,2010.0,Paul J. Evanson,5.0,0.0,,2011-02-25,2011-01-12,2011-02-25,voluntary,False,"Paul J. Evanson stayed on for a few months in the aftermath of a February 2011 merger between Allegheny Energy Inc. and FirstEnergy Inc. before announcing his retirement in May. At 69 years of age, he was clearly reaching the end of his professional career. Combined with the fact that he only left three months after the merger, there is no reason to assume that he was forced out due to company-related performance. Nearly two years later, Mr. Evanson was hired as an independent member of the Board of Directors of American Water Works Company, Inc. Since the Board of Directors only meets a few times every eyar, it is likely that he wished to earn some extra money as a retiree from working reduced hours in his vocational field of choice.","http://www.mobilecomms-technology.com/contractors/inbuilding/andrew-wig-1/press1.html
FirstEnergy and allegheny energy announce senior managers to lead organization following merger. (2011, Jan 12). Business Wire Retrieved from http://umiss.idm.oclc.org/login?url=https://www.proquest.com/wire-feeds/firstenergy-allegheny-energy-announce-senior/docview/837422305/se-2","https://www.sec.gov/Archives/edgar/data/3673/000119312510281275/d8k.htm
https://www.sec.gov/Archives/edgar/data/3673/000119312510212116/d8k.htm
https://www.sec.gov/Archives/edgar/data/3673/000119312511047579/d8k.htm",3673.0,True,ALLEGHENY ENERGY,,,,,,excluded,,change-of-control-merger,RULE-EXCLUDED,D-053,
102,HONEYWELL INTERNATIONAL INC,1300.0,2016.0,David M. Cote,5.0,0.0,,2017-03-31,2016-06-30,2017-03-31,voluntary,False,"David M. Cote presided over an impressive decade of growth in which Honeywell saw its shares rise by over 200% and its standing in the S&P 500 index by 63%. However, the CEO's push to acquire United Technologies Corp. for $90 billion was rejected by the latter company. Mr. Cote signed a five-year consulting and noncompete agreement, effective after April 2018 when he stepped down as Executive Chairman. Darius Adamcyzk succeeded Mr. Cote as CEO of Honeywell. Mr. Cote was hired by the Goldman Sachs-backed GS Acquisition Holdings Corp. in 2018, showing that his retirement from Wall Street was both forced and temporary.
  
  Changed code to 5. David Cote stepped down as CEO at the age of 64 after tenure of 14 years during which Honeywell saw its shares rise by over 200%. He became the executive chairman, a post which he retained till April, 2018 adn also to help with the transition phase of his successor.","Mann, T., & Beckerman, J. (2016, Jun 29). CEO behind honeywell revival will exit. Wall Street Journal Retrieved from http://umiss.idm.oclc.org/login?url=https://search-proquest-com.umiss.idm.oclc.org/docview/1799978763?accountid=14588
 https://fortune.com/2020/06/25/former-honeywell-ceo-david-cote-just-wrote-one-of-the-best-guides-ever-on-how-to-lead-a-company/
  Armental, M. (2018, May 18). Blank-check company backed by goldman sachs files for IPO; led by former honeywell chief executive david M. cote, GS acquisitions to look for deals in industrial sector. Wall Street Journal (Online) Retrieved from http://umiss.idm.oclc.org/login?url=https://search-proquest-com.umiss.idm.oclc.org/docview/2040899952?accountid=14588
 
  https://www.prnewswire.com/news-releases/libbey-inc-board-of-directors-names-william-foley-chairman-and-chief-executive-officer-300203293.html
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:11/30/2016,cd_max:07/30/2017&tbm=nws&q=David+Cote+HONEYWELL+INTERNATIONAL&source=lnms&tbm=nws&sa=X&ved=0ahUKEwj-o8-h0__hAhUJP6wKHX8eCbEQ_AUIDigB&biw=1920&bih=969
  https://www.google.com/search?safe=active&rlz=1C1CHBF_enUS819US819&tbs=cdr:1,cd_min:10/02/2016,cd_max:06/29/2017&tbm=nws&q=David+Cote+HONEYWELL+INTERNATIONAL
  https://www.google.com/search?q=David+Cote+HONEYWELL+INTERNATIONAL","https://www.sec.gov/Archives/edgar/data/773840/000093041317000396/c87376_8k.htm
https://www.sec.gov/Archives/edgar/data/773840/000093041316008957/c86756_8k.htm
https://www.sec.gov/Archives/edgar/data/773840/000093041317001666/c88241_8k.htm
https://www.sec.gov/Archives/edgar/data/773840/000093041317000893/c87598_8k.htm",773840.0,True,HONEYWELL,Robert D. Johnson,,,Darius Adamczyk,chain,internal,~105,chain-error-corrected;merger-inherited-tenure,PRELIMINARY,D-042,M
