transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
1323,37785,FMC CORP,external,,,"PIERRE BRONDEAU President, Chief Executive Officer and Chairman of the Board",0001193125-11-071784,ok,,,"WILLIAM G. WALTER Chairman, President and Chief Executive Officer",0001193125-10-061170,ok,
4158,1465112,DIRECTV,external,,,Michael White,0001047469-11-002290,ok,,,Larry D. Hunter,0001047469-10-003963,ok,
8488,1035267,INTUITIVE SURGICAL INC,internal,,,"Gary S. Guthart, President and Chief Executive Officer",0001193125-11-052353,ok,,,"Lonnie M. Smith,",0001193125-10-042962,ok,
3370,93751,STATE STREET CORP,internal,,,"Joseph L. Hooley Chairman, President and Chief Executive Officer",0001193125-12-151750,ok,,,Ronald E. Logue5 Chief Executive Officer,0001193125-10-077459,ok,
1379,1281761,REGIONS FINANCIAL CORP,internal,,,"O. B. Grayson Hall, Jr.",0001193125-12-134446,ok,,,C. Dowd Ritter,0001193125-10-073976,ok,
1593,42582,GOODYEAR TIRE & RUBBER CO,internal,,,"Richard J. Kramer Chairman of the Board, Chief Executive Officer and President(6)",0001193125-12-109691,ok,,,,0000950123-10-022110,ceo-row-not-found,
1294,33213,EQT CORP,internal,,,"David L. Porges  Chairman, President and  Chief Executive Officer",0001104659-12-014777,ok,,,Murry S. Gerber,0001104659-10-012258,ok,
3553,50104,ANDEAVOR,external,,,Gregory J. Goff President and Chief Executive Officer,0001193125-12-127493,ok,,,,0000950123-10-035655,ceo-row-not-found,
537,14272,BRISTOL-MYERS SQUIBB CO,internal,,,Lamberto Andreotti,0001193125-12-123606,ok,,,James M. Cornelius,0001193125-10-063270,ok,
959,201533,CMS ENERGY CORP,internal,,,,,no-proxy-for-year,,,,,no-proxy-for-year,
697,18230,CATERPILLAR INC,internal,,,Douglas R. Oberhelman,0000018230-12-000229,ok,,,"Equity  Each year,  the Compensation Committee benchmarks against the CCCG to determine a  competitive equity award for each salary grade, including  NEOs. Our process benchmarks total equity value for all salary  grades. Consistent with the Company’s compensation philosophy,  individuals at higher levels receive a greater proportion of total pay in  the form of equity.  In February  2009, the Compensation Committee approved the 2009 equity design, which  consisted of a mix of SARs and RSUs. This equity design  supports our Pay for  Performance and Pay at Risk  philosophy. RSUs represent actual shares of stock and therefore  carry less risk than SARs.  The  Compensation Committee has the discretion to make positive or negative  adjustments to equity awards based on a subjective assessment of an  individual’s performance, provided these adjustments do not increase the  total number of awards issued to employees.  At the  February 2009 Compensation Committee meeting, Mr. Owens discussed his  recommendations with respect to standard equity award adjustments for all  NEOs, other than himself. Equity award adjustments were made  and were based upon individual performance (discussed in the “Other NEOs  Compensation Decisions” section of this CD&A). NEO equity  grants, other than Mr. Owens’, ranged from 71,176 to 166,252 SARs and  4,449 to 7,335 RSUs. At the February 2009 Board meeting, the  Chairman of the Compensation Committee, Mr. Goode, in consultation with  the Board and in accordance with the following “Annual Equity Grant  Timing” section, established the equity award for Mr. Owens based on  exceptional performance (discussed in “Compensation Decisions – Chairman  and CEO Compensation Decisions – Equity Grant for 2010” section of this  CD&A). Accordingly, for the 2009 equity grant, Mr. Owens  received 504,180 SARs and 20,152 RSUs.",0000018230-10-000209,ok,
8661,1326380,GAMESTOP CORP,internal,,,J. Paul Raines,0001193125-12-225064,ok,,,,0000950123-10-050895,ceo-row-not-found,
5819,875045,BIOGEN INC,internal,,,Chief Executive Officer,0001193125-12-191025,ok,,,,0000950123-10-039661,ceo-row-not-found,
4871,1090012,DEVON ENERGY CORP,external,,,Chief Executive Officer,0001193125-12-179272,ok,,,,0000950123-10-039593,ceo-row-not-found,
4579,816284,CELGENE CORP,internal,,,"Chief Executive Officer, President and Chairman of the Board(6)",0001193125-12-196659,ok,,,,0000950123-10-041867,ceo-row-not-found,
3017,751652,QUESTAR CORP,internal,,,Ronald W. Jibson,0001193125-12-138676,ok,,,"Keith O. Rattie 8 Chairman of the Board, President & Chief Executive Officer",0001193125-10-078209,ok,
8877,1141391,MASTERCARD INC,external,,,Ajay Banga,0001193125-12-179093,ok,,,Robert W. Selander,0001193125-10-171970,ok,
2807,723531,PAYCHEX INC,internal,,,Martin Mucci,0001193125-12-391805,ok,,,Jonathan J. Judge,0000950123-10-083775,ok,
477,12659,BLOCK H & R INC,external,,,,0001193125-12-325861,ok,,,,0000950123-10-077398,ceo-row-not-found,
3477,350563,TECO ENERGY INC,internal,,,John B. Ramil President and Chief Executive Officer,0001193125-12-114072,ok,,,Sherrill W. Hudson Chairman and Chief Executive Officer,0001193125-10-059408,ok,
1713,47217,HP INC,external,,,President and Chief Executive Officer,0001047469-12-000593,ok,,,"Mark V. Hurd Chairman of the Board, Chief Executive Officer and President",0001047469-10-000369,ok,
9121,1365135,WESTERN UNION CO,internal,,,Hikmet Ersek(4),0001193125-12-156224,ok,,,Christina A. Gold,0001193125-10-070793,ok,
1082,936340,DTE ENERGY CO,internal,,,"Gerard M. Anderson,",0001193125-12-116356,ok,,,,0000950123-10-029205,ceo-row-not-found,
