transition_id,cik,coname,classification,predecessor,successor,pred_last_full_fy,pred_proxy_year,succ_first_full_fy,succ_proxy_year
1323,37785,FMC CORP,external,William Gerald Walter,Pierre R. Brondeau,2009,2010,2010,2011
4158,1465112,DIRECTV,external,Larry D. Hunter,Michael D. White,2009,2010,2010,2011
8488,1035267,INTUITIVE SURGICAL INC,internal,Lonnie M. Smith,"Gary S. Guthart, Ph.D.",2009,2010,2010,2011
3370,93751,STATE STREET CORP,internal,Ronald E. Logue,"Joseph L. Hooley, Esq.",2009,2010,2011,2012
1379,1281761,REGIONS FINANCIAL CORP,internal,C. Dowd Ritter,"O. B. Grayson Hall, Jr.",2009,2010,2011,2012
1593,42582,GOODYEAR TIRE & RUBBER CO,internal,Robert J. Keegan,Richard J. Kramer,2009,2010,2011,2012
1294,33213,EQT CORP,internal,Murry Steven Gerber,David L. Porges,2009,2010,2011,2012
3553,50104,ANDEAVOR,external,Bruce Anderson Smith,Gregory J. Goff,2009,2010,2011,2012
537,14272,BRISTOL-MYERS SQUIBB CO,internal,James Milton Cornelius,Lamberto Andreotti,2009,2010,2011,2012
959,201533,CMS ENERGY CORP,internal,David W. Joos,John G. Russell,2009,2010,2011,2012
697,18230,CATERPILLAR INC,internal,James W. Owens,Douglas Ray Oberhelman,2009,2010,2011,2012
8661,1326380,GAMESTOP CORP,internal,Daniel A. DeMatteo,J. Paul Raines,2009,2010,2011,2012
5819,875045,BIOGEN INC,internal,James C. Mullen,John Richels,2009,2010,2011,2012
4871,1090012,DEVON ENERGY CORP,external,J. Larry Nichols,"George A. Scangos, Ph.D.",2009,2010,2011,2012
4579,816284,CELGENE CORP,internal,"Sol J. Barer, Ph.D.","Robert J. Hugin, MBA",2009,2010,2011,2012
3017,751652,QUESTAR CORP,internal,Keith O. Rattie,Ronald W. Jibson,2009,2010,2011,2012
8877,1141391,MASTERCARD INC,external,Robert W. Selander,Ajaypal S. Banga,2009,2010,2011,2012
2807,723531,PAYCHEX INC,internal,Jonathan J. Judge,Martin Mucci,2009,2010,2011,2012
477,12659,BLOCK H & R INC,external,Russell P. Smyth,Alan Munro Bennett,2009,2010,2011,2012
3477,350563,TECO ENERGY INC,internal,Sherrill Wayne Hudson,John Braulio Ramil,2009,2010,2011,2012
1713,47217,HP INC,external,Mark Vincent Hurd,Leo Apotheker,2009,2010,2011,2012
9121,1365135,WESTERN UNION CO,internal,Christina Albehdina Gold,Hikmet Ersek,2009,2010,2011,2012
1082,936340,DTE ENERGY CO,internal,"Anthony F. Earley, Jr.",Gerard M. Anderson,2009,2010,2011,2012
3949,36270,WILMINGTON TRUST CORP,external,William J. Farrell II,Donald E. Foley,2009,2010,2011,2012
4804,800240,OFFICE DEPOT INC,external,Stephen A. Odland,Neil R. Austrian,2009,2010,2011,2012
3252,90185,SIGMA-ALDRICH CORP,internal,"Jai P. Nagarkatti, Ph.D.",Rakesh Sachdev,2009,2010,2011,2012
3304,92122,SOUTHERN CO,internal,David M. Ratcliffe,Thomas A. Fanning,2009,2010,2011,2012
2859,78003,PFIZER INC,internal,"Jeffrey B. Kindler, Esq., J.D.",Ian C. Read,2009,2010,2011,2012
5656,873364,CEPHALON INC,internal,"Frank Baldino, Jr., Ph.D.",J. Kevin Buchi,2009,2010,2011,2012
8578,37748,MASSEY ENERGY CO,internal,Donald L. Blankenship,"Baxter F. Phillips, Jr.",2009,2010,2011,2012
7253,1000180,SANDISK CORP,internal,Eli Harari,Sanjay Mehrotra,2009,2010,2011,2012
3936,107263,WILLIAMS COS INC,internal,Steven J. Malcolm,Alan S. Armstrong,2009,2010,2011,2012
2345,310158,MERCK & CO,internal,Richard T. Clark,Kenneth C. Frazier,2010,2011,2011,2012
8078,1060391,REPUBLIC SERVICES INC,internal,James E. O'Connor,Donald W. Slager,2010,2011,2011,2012
4830,20286,CINCINNATI FINANCIAL CORP,internal,Kenneth William Stecher,Steven J. Johnston,2010,2011,2011,2012
2453,68505,MOTOROLA SOLUTIONS INC,internal,"Sanjay K. Jha, Ph.D., B.E.",Gregory Q. Brown,2010,2011,2012,2013
2672,797468,OCCIDENTAL PETROLEUM CORP,internal,Ray R. Irani,Stephen I. Chazen,2010,2011,2012,2013
45,2488,ADVANCED MICRO DEVICES,external,Derrick R. Meyer,Rory P. Read,2010,2011,2012,2013
10384,1457543,CAREFUSION CORP,external,David L. Schlotterbeck,Kieran T. Gallahue,2010,2011,2012,2013
1444,1124198,FLUOR CORP,internal,"Alan Lee Boeckmann, B.E.",David Thomas Seaton,2010,2011,2012,2013
2007,1310067,SEARS HOLDINGS CORP,external,William Bruce Johnson,Louis Joseph D'Ambrosio,2010,2011,2012,2013
8253,1275283,REYNOLDS AMERICAN INC,internal,Susan M. Cameron,Daniel M. Delen,2010,2011,2012,2013
2331,64803,CVS HEALTH CORP,internal,Thomas M. Ryan,Larry J. Merlo,2010,2011,2012,2013
